ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,NORTHING,EASTING,ENGLISH ADDRESS,中文地址,TELEPHONE,FAX NUMBER,OPENING HOURS,EMAIL ADDRESS,WEBSITE
Aided Primary Schools,資助小學,YCH CHOI HIN TO PRIMARY SCHOOL,仁濟醫院蔡衍濤小學,833560,835193,WAN TAU TONG ESTATE AREA 6 TAI PO NEW TERRITORIES,新界大埔第六區運頭塘?,26566116,26578298,,,http://www.ychchtps.edu.hk/
Aided Primary Schools,資助小學,KA LING SCHOOL OF THE PRECIOUS BLOOD,寶血會嘉靈學校,821236,834185,280 HAI TAN STREET SHAMSHUIPO KOWLOON,九龍深水?海壇街280號,23864542,27089924,,,http://www.kalingpb.edu.hk/
Aided Primary Schools,資助小學,HHCKLA BUDDHIST WISDOM PRI SCH,香海正覺蓮社佛教正慧小學,839349,830838,6 CHING SHING ROAD SHEUNG SHUI NEW TERRITORIES,新界上水清城路6號,26689088,26680278,,,http://www.wisdom.edu.hk
Aided Primary Schools,資助小學,TWGH HK & KLN ETC APP MER ASSN LTD SCH,東華三院港九電器商聯會小學,840066,831681,AREA 7 SHEK WU HUI SHEUNG SHUI NEW TERRITORIES,新界上水石湖墟七區,26723285,26737741,,,http://www.eama.edu.hk
Aided Primary Schools,資助小學,HONG KONG STUDENT AID SOCIETY PRI SCHOOL,香港學生輔助會小學,836192,818586,"AREA 109 TIN SHUI WAI, YUEN LONG NEW TERRITORIES",新界元朗天水圍第109區,23420555,34014724,,,http://www.hksasps.edu.hk/
Aided Primary Schools,資助小學,NORTH POINT METHODIST PRIMARY SCHOOL (P.M.),北角衛理小學(下午),816702,838227,19 CHEUNG HONG STREET NORTH POINT HONG KONG,香港北角長康街19號,25713599,25107285,,,http://www.npmps.edu.hk
Aided Primary Schools,資助小學,S.K.H. GOOD SHEPHERD PRIMARY SCHOOL (WHOLE DAY),聖公會牧愛小學(全日),819901,837402,171 MA TAU WAI ROAD KOWLOON CITY KOWLOON,九龍九龍城馬頭圍道171號,27123094,27141552,,,http://www.gsps.edu.hk
Aided Primary Schools,資助小學,S.K.H. ST. ANDREW'S PRIMARY SCHOOL,聖公會聖安德烈小學,821302,833238,3 HOI LAI STREET SHAM SHUI PO KOWLOON,九龍深水?海麗街3號,29591551,29596353,,,http://www.skhstandrews.edu.hk
Aided Primary Schools,資助小學,HKTA YUEN YUEN INST SHEK WAI KOK PRI SCH,香港道教聯合會圓玄學院石圍角小學,826159,830637,ESTATE PRIMARY SCHOOL NO. 2 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,新界荃灣石圍角?屋?第2小學,24165447,24920024,,,http://www.swk.edu.hk
Aided Primary Schools,資助小學,BISHOP WALSH PRIMARY SCHOOL,華德學校,821754,837376,150 JUNCTION ROAD WONG TAI SIN KOWLOON,九龍黃大仙聯合道150號,23372058,23361664,,,http://www.bishopwalsh.edu.hk
Aided Primary Schools,資助小學,FREE METHODIST MEI LAM PRIMARY SCHOOL,循理會美林小學,826716,835981,MEI SHING COURT TAI WAI SHATIN NEW TERRITORIES,新界沙田大圍美城苑,26052868,26022709,,,http://www.fmml.edu.hk
Aided Primary Schools,資助小學,SKH ST MATTHEW'S PRIMARY SCHOOL,聖公會聖馬太小學,816324,833156,12-20 NEW STREET SHEUNG WAN HONG KONG,香港上環新街12-20號,25483368,29754641,,,http://www.stmatthew.edu.hk
Aided Primary Schools,資助小學,YAUMATI CATHOLIC PRI SCH (HOI WANG RD),油?地天主教小學(海泓道),819381,834951,10 HOI WANG ROAD YAU MA TEI KOWLOON,九龍油?地海泓道10號,26250766,27807406,,,http://www.ycps.edu.hk
Aided Primary Schools,資助小學,SKH KAM TIN ST JOSEPH'S PRIMARY SCHOOL,聖公會錦田聖約瑟小學,833268,824998,"12 BO TEI ROAD KAM TIN, YUEN LONG NEW TERRITORIES",新界元朗錦田波地路12號,24764962,24794699,,,http://www.skhsjs.edu.hk
Aided Primary Schools,資助小學,TIN SHUI WAI CATHOLIC PRIMARY SCHOOL,天水圍天主教小學,835381,818682,"28 TIN PAK ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES",新界天水圍元朗天柏路28號,26178212,26178252,,,http://www.tswcps.edu.hk
Aided Primary Schools,資助小學,SALESIAN YIP HON PRIMARY SCHOOL,慈幼葉漢小學,825906,832626,ON YAM ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌安蔭?,24202727,24254133,,,http://www.syhps.edu.hk
Aided Primary Schools,資助小學,"ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI",上水宣道小學,840149,832749,"2 WO MUK ROAD, AREA 18 FANLING NEW TERRITORIES",新界粉嶺第18區和睦路2號,26702257,26685357,,,http://www.apsss.edu.hk
Aided Primary Schools,資助小學,HONG KONG BAPTIST CONVENTION PRIMARY SCH,香港浸信會聯會小學,825749,828383,BELVEDERE GARDEN 2 LAI SHUN ROAD TSUEN WAN NEW TERRITORIES,新界荃灣麗順路2號麗城花園,24920699,24920922,,,http://www.hkbcps.edu.hk/
Aided Primary Schools,資助小學,PLK DR. JIMMY WONG CHI-HO (TSV) P S,保良局王賜豪(田心谷)小學,825412,836357,"ESTATE PRIMARY SCHOOL, LUNG HANG ESTATE SHATIN NEW TERRITORIES",新界沙田隆亨?小學校舍,26062363,26927711,,,http://www.plkwch.edu.hk
Aided Primary Schools,資助小學,SAU MING PRIMARY SCHOOL,秀明小學,820054,842034,5 SAU FUNG STREET SAU MAU PING KWUN TONG KOWLOON,九龍觀塘秀茂坪秀豐街5號,23493478,23796807,,,http://www.saumingps.edu.hk
Aided Primary Schools,資助小學,BUDD LAM BING YIM MEM SCH (SPSD BY HKBA),佛教林炳炎紀念學校(香港佛教聯合會主辦),825602,830747,33 TAI HA STREET TSUEN WAN NEW TERRITORIES,新界荃灣大?街33號,24220125,24841417,,,http://www.blbyms.edu.hk
Aided Primary Schools,資助小學,SKH ST THOMAS' PRIMARY SCHOOL,聖公會聖多馬小學,821706,834362,145 PRATAS STREET SHAM SHUI PO KOWLOON,九龍深水?東沙島街145號,,,,,
Aided Primary Schools,資助小學,BUDDHIST CHAN WING KAN MEMORIAL SCHOOL,佛教陳榮根紀念學校,833161,820103,"23 LAM HAU TSUEN ROAD MA TIN, YUEN LONG NEW TERRITORIES",新界元朗馬田欖口村路23號,24753663,24753991,,,http://www.bcwkms.edu.hk
Aided Primary Schools,資助小學,BAPTIST (STW) LUI MING CHOI PRIM SCH,浸信會沙田圍呂明才小學,826910,838438,8 YUEN CHAU KOK ROAD SHATIN NEW TERRITORIES,新界沙田圓洲角路8號,26476242,26350132,,,http://www.bstwlmc.edu.hk
Aided Primary Schools,資助小學,PLK GRANDMONT PRIMARY SCHOOL,保良局錦泰小學,822870,839189,PRIMARY SCHOOL (1) PO KONG VILLAGE ROAD WONG TAI SIN KOWLOON,九龍黃大仙蒲崗村道小學校舍(1),23262886,23522353,,,http://www.grandmont.edu.hk/
Aided Primary Schools,資助小學,HHCKLA BUDDHIST CHAN SHI WAN PRIMARY SCH,香海正覺蓮社佛教陳式宏學校,839961,831260,CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES,新界上水彩園?,26716665,26685352,,,http://www.bcsw.edu.hk
Aided Primary Schools,資助小學,T.W.G.HS KO HO NING MEM PRI SCH,東華三院高可寧紀念小學,823786,831415,LAI YIU ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌麗瑤?,27450511,27863085,,,http://www.twghkhnmp.edu.hk
Aided Primary Schools,資助小學,NG WAH CATHOLIC PRI SCH,天主教伍華小學,821505.7,838161.1,5 CHOI HUNG ROAD SAN PO KONG KOWLOON,九龍新蒲崗彩虹道5號,23838079,23827592,,,http://www.nwcps.edu.hk
Aided Primary Schools,資助小學,PO ON COMMERCIAL ASSN WAN HO KAN PRI SCH,寶安商會溫浩根小學,816605,812230,PRIMARY SCHOOL NO 2 FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌富東?第二號小學校舍,21090045,21090047,,,http://www.pocawhk.edu.hk
Aided Primary Schools,資助小學,BUDDHIST CHUNG WAH KORNHILL PRI SCH,佛教中華康山學校,815781.2,840091.7,2 HONG YUE STREET QUARRY BAY HONG KONG,香港?魚涌康愉街2號,28844115,25679897,,,http://www.bcwkps.edu.hk
Aided Primary Schools,資助小學,SKH ST CLEMENT'S PRIMARY SCHOOL,聖公會聖紀文小學,821753,833878,5 FORTUNE STREET CHEUNG SHA WAN KOWLOON,九龍長沙灣幸福街五號,23615663,23605166,,,http://www.skhscps.edu.hk
Aided Primary Schools,資助小學,SALVATION ARMY CENTALINE CHARITY FUND SC,救世軍中原慈善基金學校,813692,842514,9 WAH HA STREET CHAI WAN HONG KONG,香港柴灣華廈街九號,25562292,25562722,,,http://www.saccf.edu.hk
Aided Primary Schools,資助小學,ELCHK FAITH LOVE LUTHERAN SCHOOL,基督教香港信義會信愛學校,814202,843000,ESTATE SCHOOL NO.2 YUE WAN ESTATE CHAI WAN HONG KONG,香港柴灣漁灣?第二座校舍,25562442,28984212,,,http://www.cwflls.edu.hk
Aided Primary Schools,資助小學,SHAM TSENG CATHOLIC PRIMARY SCHOOL,深井天主教小學,825371,824279,37 CASTLE PEAK ROAD SHAM TSENG TSUEN WAN NEW TERRITORIES,新界荃灣青山公路深井段37號,24903912,24903913,,,http://www.stcpri.edu.hk
